Forename,Male,Female
Lim,38,62
Warni,0,100
Rohana,1,99
Salamah,0,100
Ngatini,0,100
Martha,3,97
Winarsih,0,100
Mei,20,80
Sarmi,0,100
Samsuri,98,2
Mad,99,1
Mustofa,100,0
Khairul,97,3
Anna,1,99
Tumini,10,90
Suroso,95,5
Indri,2,98
Yustina,1,99
Imron,100,0
Hendro,100,0
Chandra,86,14
Komarudin,100,0
Denny,77,23
Haryanto,100,0
Yuliani,0,100
Wartini,0,100
Eny,0,100
Sumi,5,95
Suparni,4,96
Ramlah,1,99
Suratno,100,0
Riski,54,46
Anisah,0,100
Mardi,88,12
Juli,17,83
Dyah,0,100
Al,100,0
Rosdiana,1,99
Sulaeman,100,0
Citra,1,99
Adam,100,0
Romlah,0,100
Budiman,100,0
Asiah,0,100
Sabar,100,0
Warsini,0,100
Gatot,100,0
Suyatno,100,0
Nyai,7,93
Sami,40,60
Helmi,49,51
Suhartini,1,99
Yohanis,98,2
Salma,1,99
Hidayat,98,2
Maemunah,1,99
Sarni,0,100
Sukarni,3,97
Henny,1,99
Cut,0,100
Ricky,98,2
Oom,0,100
Simon,100,0
Sugiarti,4,96
Meri,3,97
Suprihatin,25,75
Mas,52,48
Annisa,1,99
Sutarno,100,0
Enok,0,100
Ester,2,98
Mila,1,99
Yulius,96,4
Mimi,8,92
Suratman,100,0
Semi,37,63
Budiono,100,0
Mujiati,0,100
Samini,0,100
Widya,2,98
Tatik,0,100
Mulyana,10,90
Kurniawan,98,2
Suyadi,100,0
Hayati,0,100
Hani,12,88
Yosep,97,3
Tika,2,98
Nengsih,0,100
Aman,100,0
Norma,1,99
Catur,66,34
Mariam,2,98
Robi,82,18
Rusmiati,0,100
Selamet,100,0
Ipah,0,100
Sukini,0,100
Dahlan,99,1
Hasanudin,100,0
Fransiskus,100,0
Purwati,0,100
Firdaus,93,7
Nila,0,100
Sugiarto,100,0
Sarinah,1,99
Sukri,98,2
Megawati,1,99
Muslimin,100,0
Purwanti,0,100
Sucipto,100,0
Ach,100,0
Surip,64,36
Suryana,4,96
Efendi,100,0
Asni,3,97
Irawati,2,98
Painem,0,100
Sanusi,99,1
Susilowati,6,94
Basuki,100,0
Baiq,0,100
Andy,98,2
Minah,2,98
Poniyem,0,100
Yulianto,100,0
Pardi,98,2
Erlina,0,100
Herni,2,98
Agnes,1,99
Mia,0,100
Sodikin,100,0
Nurmala,0,100
Ahmat,100,0
Sardi,100,0
Tita,3,97
Sopian,100,0
Uun,6,94
Supriyono,100,0
Sumarmi,0,100
Komariah,0,100
Sumarti,3,97
Syahrul,100,0
Husni,62,38
Ardiansyah,97,3
Paini,0,100
Yaya,39,61
Susana,0,100
Suharto,100,0
Dayat,100,0
Saepul,100,0
Akbar,99,1
Lailatul,0,100
Adang,100,0
Darmi,0,100
Ahmadi,100,0
Syamsuddin,99,1
Darsono,100,0
Benny,94,6
Amelia,0,100
Alex,99,1
Elisabeth,3,97
Suprapti,0,100
Mamah,0,100
Supiyah,0,100
Nanda,27,73
Faridah,1,99
Subandi,100,0
Herawati,1,99
Miftahul,83,17
Andik,89,11
Hermansyah,100,0
Suroto,100,0
Oman,100,0
Latifah,2,98
Syarifah,1,99
Jamaluddin,99,1
Lisnawati,2,98
Ami,53,47
Maryono,91,9
Hamdani,73,27
Andre,99,1
Anto,99,1
Deny,85,15
Usep,100,0
Vivi,0,100
Zainul,99,1
Sulasmi,0,100
Rusman,98,2
Saripah,0,100
Heriyanto,100,0
Sartini,0,100
Rumini,0,100
Suhadi,100,0
Herry,96,4
Sarip,100,0
Anastasia,3,97
Vera,1,99
Ely,12,88
Baharuddin,99,1
Djoko,100,0
Ilyas,99,1
Lusia,0,100
Hadijah,1,99
Juni,41,59
Rendi,99,1
Soni,96,4
Wisnu,99,1
Susilo,72,28
Novia,0,100
Yoga,100,0
Aceng,100,0
Daud,100,0
Saminah,0,100
Sulis,9,91
Rosidah,0,100
Amiruddin,100,0
Suyatmi,0,100
Magdalena,0,100
Mariyam,9,91
Musa,89,11
Erma,0,100
Suprianto,100,0
Arip,97,3
Wardi,97,3
Supriyati,0,100
Aulia,4,96
Nurhadi,95,5
Sukiman,100,0
Lutfi,85,15
Fahmi,92,8
Sukirno,100,0
Rohayati,0,100
Veronika,3,97
Ishak,98,2
Sidik,98,2
Natalia,4,96
Nursiah,1,99
Zainuddin,99,1
Paulina,0,100
Firmansyah,97,3
Muhtar,100,0
Hamzah,99,1
Syarif,99,1
Yoyoh,0,100
Watini,0,100
Diki,99,1
Warti,0,100
Mustakim,100,0
Suyitno,100,0
Murniati,0,100
Lusi,0,100
Risna,1,99
Hermawan,99,1
Wiwit,26,74
Samin,81,19
Anih,0,100
Hamid,99,1
Parmi,0,100
Thomas,97,3
Sarti,0,100
Fransiska,3,97
Jefri,100,0
Silvia,0,100
Riza,19,81
Muchamad,100,0
Iim,0,100
Rachmat,100,0
Putra,99,1
Wandi,97,3
Nurma,0,100
Jamal,99,1
Partini,0,100
Sartika,2,98
Muslimah,2,98
Saripudin,100,0
Septi,5,95
Haryono,100,0
Dicky,100,0
Esih,0,100
Ivan,99,1
Suryanto,100,0
Hamdan,99,1
